Posted Date,Reference Number,Payee,Address,Amount,remove
08/16/2025,2.44311E+22,H MART IRVINE INC IRVINE CA,IRVINE        CA ,-79.37,
08/15/2025,2.44311E+22,H MART IRVINE INC IRVINE CA,IRVINE        CA ,-18.64,
08/15/2025,2.46922E+22,SQ *DOSE IN THE BOX Irvine CA,Irvine        CA ,-13.5,
08/13/2025,2.44311E+22,H MART IRVINE INC IRVINE CA,IRVINE        CA ,-62.74,
08/12/2025,2.42317E+22,85C BAKERY CAFE USA IRVINE CA,IRVINE        CA ,-3.05,
08/12/2025,2.42317E+22,85C BAKERY CAFE USA IRVINE CA,IRVINE        CA ,-33.96,
08/11/2025,7.42447E+22,FOREIGN TRANSACTION FEE,,-0.52,
08/11/2025,7.42447E+22,PAYPAL *ASSOCIAZION 35314369001,,-17.55,
08/11/2025,2.44273E+22,99 RANCH #1009 IRVINE CA,IRVINE        CA ,-48.91,
08/11/2025,2.46922E+22,Amazon.com*1R8OG0HM3 Amzn.com/billWA,Amzn.com/bill WA ,-38.26,
08/11/2025,2.46922E+22,SQ *DOSE IN THE BOX Irvine CA,Irvine        CA ,-25.44,
08/08/2025,2.44311E+22,H MART IRVINE INC IRVINE CA,IRVINE        CA ,-74.38,
08/08/2025,2.47934E+22,Motion Array Wilmington DE,Wilmington    DE ,-23.99,
08/08/2025,2.42317E+22,85C BAKERY CAFE USA IRVINE CA,IRVINE        CA ,-31.73,
08/07/2025,2.46922E+22,Amazon.com*HB8V71DL3 Amzn.com/billWA,Amzn.com/bill WA ,-11.93,
08/07/2025,2.46922E+22,AMAZON MKTPL*JY2A088L3 Amzn.com/billWA,Amzn.com/bill WA ,-49.53,
08/07/2025,2.46922E+22,APPLE.COM/BILL 866-712-7753 CA,866-712-7753  CA ,-2.99,
08/07/2025,2.46922E+22,Amazon.com*HU61H8LN3 Amzn.com/billWA,Amzn.com/bill WA ,-7.36,
08/06/2025,2.1806E+22,Online payment from CHK 8540,,1699.75,
08/06/2025,2.46922E+22,AMAZON MKTPL*ZY4LW2443 Amzn.com/billWA,Amzn.com/bill WA ,-37.7,x
08/06/2025,2.40363E+22,DD *DOORDASH PHOBACO 855-973-1040 CA,855-973-1040  CA ,-35.13,x
08/05/2025,2.44311E+22,H MART IRVINE INC IRVINE CA,IRVINE        CA ,-36.75,
08/04/2025,2.46922E+22,Amazon.com*OE1NG4DR3 Amzn.com/billWA,Amzn.com/bill WA ,-44.99,
08/04/2025,2.46922E+22,SQ *DOSE IN THE BOX Irvine CA,Irvine        CA ,-22.95,
08/04/2025,2.40363E+22,DD *DOORDASH SIAMSTATI 855-973-1040 CA,855-973-1040  CA ,-61.53,
08/04/2025,2.46922E+22,Amazon.com*DR6EB2CB3 Amzn.com/billWA,Amzn.com/bill WA ,-21.43,
08/04/2025,2.40113E+22,LYFT *1 RIDE 08-01 LYFT.COM CA,LYFT.COM      CA ,-12.98,
08/02/2025,2.42317E+22,85C BAKERY CAFE USA IRVINE CA,IRVINE        CA ,-24.43,
08/02/2025,2.42043E+22,Google GSUITE_chenweixu.c650-2530000 CA,650-2530000   CA ,-6.35,
08/01/2025,2.44311E+22,H MART IRVINE INC IRVINE CA,IRVINE        CA ,-41.4,
08/01/2025,2.40363E+22,DD *DOORDASH CVS 855-973-1040 CA,855-973-1040  CA ,-13.21,
07/31/2025,2.40363E+22,DD *DOORDASH SUBWAY 855-973-1040 CA,855-973-1040  CA ,-24.34,
07/31/2025,2.40113E+22,LYFT *4 RIDES 07-29 LYFT.COM CA,LYFT.COM      CA ,-59.36,
07/31/2025,2.40363E+22,DD *DOORDASH NOODOLOGY 855-973-1040 CA,855-973-1040  CA ,-56.58,
