Trans. Date,Post Date,Description,Amount,Category
01/02/2025,01/02/2025,"AMAZON.COM*ZD7XA6ZJ2 AMZN.COM/BILLWA5QW4UE1Y7KZ",1.50,"Merchandise"
01/06/2025,01/06/2025,"AMAZON MKTPL*ZP00Y3YF0 AMZN.COM/BILLWA4HZIM83SAAS",24.24,"Merchandise"
01/10/2025,01/10/2025,"THE TOLL ROADS OF OC 949-727-4800 CA24264072",2.20,"Travel/ Entertainment"
01/13/2025,01/13/2025,"INTERNET PAYMENT - THANK YOU",-27.94,"Payments and Credits"
05/19/2025,05/19/2025,"99 RANCH #1007 ARCADIA CA",283.41,"Supermarkets"
05/20/2025,05/20/2025,"GF MARKET ARCADIA CA",400.00,"Supermarkets"
06/12/2025,06/12/2025,"INTERNET PAYMENT - THANK YOU",-683.41,"Payments and Credits"
06/14/2025,06/14/2025,"GF MARKET ARCADIA CA",800.00,"Supermarkets"
06/22/2025,06/22/2025,"H MART IRVINE INC IRVINE CA",92.79,"Supermarkets"
06/27/2025,06/27/2025,"INTERNET PAYMENT - THANK YOU",-792.79,"Payments and Credits"
07/07/2025,07/07/2025,"MODERN PARKING LOC 184 PASADENA CA",4.00,"Services"
07/10/2025,07/10/2025,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-76.08,"Awards and Rebate Credits"
07/10/2025,07/10/2025,"INTERNET PAYMENT - THANK YOU",-27.92,"Payments and Credits"
